,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
29271,212034877,617,,LARCENY THEFT FROM BUILDING,D4,270,0,5/19/21 18:00,2021,5,Wednesday,18,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
29344,212034791,2610,,TRESPASSING,D4,270,0,5/26/21 15:32,2021,5,Wednesday,15,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
29396,212034730,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4, ,0,5/26/21 12:27,2021,5,Wednesday,12,,,42.33645001,-71.07702795,"(42.3364500076483, -71.077027948585)"
29490,212034618,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,170,0,5/26/21 0:42,2021,5,Wednesday,0,,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.335621261539, -71.0758236057027)"
29573,212034516,619,,LARCENY ALL OTHERS,D4, ,0,5/25/21 12:12,2021,5,Tuesday,12,,W SPRINGFIELD ST,42.33795319,-71.0774931,"(42.337953188461, -71.077493096854)"
29626,212034450,3005,,SICK ASSIST,D4,179,0,5/25/21 13:10,2021,5,Tuesday,13,,MASSACHUSETTS AVE,42.33285585,-71.07262418,"(42.3328558502194, -71.0726241783837)"
29711,212034326,423,,ASSAULT - AGGRAVATED,D4,170,0,5/24/21 20:00,2021,5,Monday,20,,WASHINGTON ST,42.33721215,-71.07597603,"(42.3372121541099, -71.0759760325963)"
29732,212034297,3005,,SICK ASSIST,D4,273,0,5/24/21 17:49,2021,5,Monday,17,,NORTHAMPTON ST,42.33798932,-71.08003746,"(42.3379893238422, -71.0800374587471)"
29840,212034157,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,5/24/21 11:12,2021,5,Monday,11,,,42.33930997,-71.08032002,"(42.3393099710364, -71.0803200199634)"
29849,212034147,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4, ,0,5/24/21 8:37,2021,5,Monday,8,,,42.33349998,-71.07351,"(42.3334999801716, -71.0735099961732)"
29868,212034123,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,271,0,5/23/21 21:00,2021,5,Sunday,21,,NORTHAMPTON ST,42.33523403,-71.07670603,"(42.3352340344479, -71.0767060290036)"
29928,212034028,301,,ROBBERY,D4, ,0,5/23/21 18:53,2021,5,Sunday,18,,,42.33598899,-71.07764698,"(42.3359889921815, -71.0776469761395)"
29931,212034023,3007,,SUDDEN DEATH,D4,270,0,5/23/21 0:00,2021,5,Sunday,0,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)"
30110,212033762,3115,,INVESTIGATE PERSON,D4,597,0,5/22/21 17:57,2021,5,Saturday,17,,TREMONT ST,42.33913315,-71.08075652,"(42.339133153583, -71.0807565231527)"
30119,212033750,613,,LARCENY SHOPLIFTING,D4,270,0,5/22/21 18:07,2021,5,Saturday,18,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
30120,212033749,423,,ASSAULT - AGGRAVATED,D4,171,0,5/22/21 17:41,2021,5,Saturday,17,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)"
30168,212033684,617,,LARCENY THEFT FROM BUILDING,D4, ,0,5/22/21 13:16,2021,5,Saturday,13,,,42.34218797,-71.084071,"(42.3421879736807, -71.0840709977025)"
30196,212033644,423,,ASSAULT - AGGRAVATED,,172,0,5/22/21 10:10,2021,5,Saturday,10,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
30201,212033637,3410,,TOWED MOTOR VEHICLE,D4,155,0,5/22/21 7:43,2021,5,Saturday,7,,MASSACHUSETTS AVE,42.33998273,-71.080974,"(42.3399827319387, -71.0809740006293)"
30237,212033595,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,, ,0,5/21/21 23:54,2021,5,Friday,23,,,42.33645001,-71.07702795,"(42.3364500076483, -71.077027948585)"
30470,212033286,2905,,VAL - VIOLATION OF AUTO LAW,D4,270,0,5/21/21 2:45,2021,5,Friday,2,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
30619,212033065,2670,,HARASSMENT/ CRIMINAL HARASSMENT,D4,156,0,5/20/21 10:39,2021,5,Thursday,10,,W SPRINGFIELD ST,42.33930275,-71.07912378,"(42.3393027488002, -71.0791237835741)"
30687,212032978,3115,,INVESTIGATE PERSON,D4,273,0,5/19/21 21:46,2021,5,Wednesday,21,,NORTHAMPTON ST,42.33665048,-71.07841035,"(42.3366504823943, -71.0784103520186)"
30709,212032949,3005,,SICK ASSIST,D4,273,0,5/19/21 18:27,2021,5,Wednesday,18,,NORTHAMPTON ST,42.33619626,-71.07787036,"(42.3361962558709, -71.0778703601795)"
30730,212032921,3207,,PROPERTY - FOUND,D4,273,0,5/19/21 19:19,2021,5,Wednesday,19,,NORTHAMPTON ST,42.33665048,-71.07841035,"(42.3366504823943, -71.0784103520186)"
30772,212032871,3805,,M/V ACCIDENT - POLICE VEHICLE,D4,271,0,5/19/21 16:45,2021,5,Wednesday,16,,,42.33490996,-71.07517005,"(42.3349099560838, -71.0751700489333)"
30836,212032800,3005,,SICK ASSIST,D4,179,0,5/19/21 10:38,2021,5,Wednesday,10,,MASSACHUSETTS AVE,42.33331285,-71.07322932,"(42.333312848499, -71.0732293159856)"
30864,212032761,619,,LARCENY ALL OTHERS,D4,273,0,5/19/21 8:56,2021,5,Wednesday,8,,MASSACHUSETTS AVE,42.33825572,-71.07920918,"(42.3382557219581, -71.0792091759945)"
30883,212032739,3005,,SICK ASSIST,D4, ,0,5/19/21 6:35,2021,5,Wednesday,6,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
30886,212032736,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4,170,0,5/19/21 6:55,2021,5,Wednesday,6,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)"
30908,212032706,724,,AUTO THEFT,D4,594,0,5/19/21 0:09,2021,5,Wednesday,0,,MASSACHUSETTS AVE,42.34186952,-71.0837219,"(42.3418695197559, -71.0837219015865)"
30959,212032639,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,273,0,5/18/21 20:17,2021,5,Tuesday,20,,CAMDEN ST,42.33744114,-71.08057671,"(42.337441144368, -71.0805767102789)"
30993,212032597,617,,LARCENY THEFT FROM BUILDING,D4,271,0,5/18/21 11:45,2021,5,Tuesday,11,,WASHINGTON ST,42.3353741,-71.0783156,"(42.3353740984913, -71.0783156023399)"
31005,212032581,616,,LARCENY THEFT OF BICYCLE,D4,147,0,5/18/21 17:03,2021,5,Tuesday,17,,COLUMBUS AVE,42.34190663,-71.08016868,"(42.3419066263328, -71.0801686809531)"
31090,212032475,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,273,0,5/18/21 9:46,2021,5,Tuesday,9,,MASSACHUSETTS AVE,42.33755715,-71.07836018,"(42.3375571460118, -71.0783601818338)"
31314,212032183,3006,,SICK/INJURED/MEDICAL - PERSON,D4,170,0,5/17/21 10:09,2021,5,Monday,10,,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.335621261539, -71.0758236057027)"
31391,212032070,619,,LARCENY ALL OTHERS,D4,270,0,5/16/21 20:02,2021,5,Sunday,20,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
31427,212032024,3005,,SICK ASSIST,D4,145,0,5/16/21 16:46,2021,5,Sunday,16,,MASSACHUSETTS AVE,42.34194788,-71.08362479,"(42.3419478819786, -71.0836247862163)"
31516,212031913,3001,,DEATH INVESTIGATION,D4,170,0,5/16/21 8:06,2021,5,Sunday,8,,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.335621261539, -71.0758236057027)"
31522,212031907,801,,ASSAULT - SIMPLE,D4, ,0,5/16/21 6:44,2021,5,Sunday,6,,ALBANY ST,42.333572,-71.0734305,"(42.3335720000426, -71.0734304995466)"
31659,212031722,3006,,SICK/INJURED/MEDICAL - PERSON,D4,170,0,5/15/21 11:21,2021,5,Saturday,11,,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.335621261539, -71.0758236057027)"
31662,212031719,3410,,TOWED MOTOR VEHICLE,D4,147,0,5/15/21 9:50,2021,5,Saturday,9,,WELLINGTON ST,42.34153412,-71.08174368,"(42.3415341246194, -71.0817436772639)"
31867,212031449,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,172,0,5/14/21 10:27,2021,5,Friday,10,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
31878,212031437,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4, ,0,5/14/21 9:30,2021,5,Friday,9,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
32031,212031221,3114,,INVESTIGATE PROPERTY,D4,273,0,5/13/21 12:52,2021,5,Thursday,12,,MASSACHUSETTS AVE,42.3368915,-71.077551,"(42.3368915011277, -71.0775509960834)"
32041,212031209,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,171,0,5/13/21 11:44,2021,5,Thursday,11,,HARRISON AVE,42.33555954,-71.07436364,"(42.3355595408121, -71.0743636377437)"
32169,212031055,3115,,INVESTIGATE PERSON,D4, ,1,5/12/21 18:04,2021,5,Wednesday,18,,,42.33493701,-71.07515701,"(42.3349370067414, -71.0751570050041)"
32252,212030952,3005,,SICK ASSIST,D4,273,0,5/12/21 11:24,2021,5,Wednesday,11,,WASHINGTON ST,42.33543509,-71.07840204,"(42.3354350942456, -71.0784020363859)"
32316,212030868,3803,,M/V ACCIDENT - PERSONAL INJURY,D4,171,0,5/11/21 23:49,2021,5,Tuesday,23,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
32348,212030832,3201,,PROPERTY - LOST/ MISSING,D4,284,0,5/11/21 20:15,2021,5,Tuesday,20,,MASSACHUSETTS AVE,42.34107005,-71.08255287,"(42.341070048036, -71.082552871798)"
32435,212030710,520,,BURGLARY - RESIDENTIAL,D4,170,0,5/11/21 12:16,2021,5,Tuesday,12,,WASHINGTON ST,42.33675015,-71.07662788,"(42.3367501542294, -71.0766278793634)"
32436,212030709,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,172,0,5/11/21 12:21,2021,5,Tuesday,12,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
32462,212030674,3125,,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),D4, ,0,5/11/21 9:50,2021,5,Tuesday,9,,PUBLIC ALLEY NO. 716,42.33642693,-71.07622315,"(42.3364269312964, -71.0762231504014)"
32485,212030646,1402,,VANDALISM,D4,273,0,5/11/21 6:21,2021,5,Tuesday,6,,NORTHAMPTON ST,42.33665048,-71.07841035,"(42.3366504823943, -71.0784103520186)"
32631,212030444,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4, ,0,5/10/21 12:16,2021,5,Monday,12,,MASSACHUSETTS AVE,42.33421942,-71.07434616,"(42.3342194178955, -71.0743461570786)"
32662,212030402,3115,,INVESTIGATE PERSON,D4,270,0,5/10/21 9:43,2021,5,Monday,9,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
32671,212030389,540,,BURGLARY - COMMERICAL,D4,270,0,5/10/21 8:17,2021,5,Monday,8,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
32725,212030310,3006,,SICK/INJURED/MEDICAL - PERSON,D4,273,0,5/9/21 19:59,2021,5,Sunday,19,,MASSACHUSETTS AVE,42.33755715,-71.07836018,"(42.3375571460118, -71.0783601818338)"
32760,212030258,619,,LARCENY ALL OTHERS,D4,170,0,5/9/21 16:10,2021,5,Sunday,16,,W SPRINGFIELD ST,42.33739824,-71.07682106,"(42.3373982425048, -71.076821063853)"
32833,212030164,801,,ASSAULT - SIMPLE,D4,284,0,5/9/21 9:01,2021,5,Sunday,9,,COLUMBUS AVE,42.339675,-71.0829325,"(42.339675000833, -71.0829325018489)"
32851,212030141,3005,,SICK ASSIST,D4,270,0,5/9/21 3:10,2021,5,Sunday,3,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
32881,212030095,3115,,INVESTIGATE PERSON,D4,594,0,5/8/21 21:59,2021,5,Saturday,21,,,42.34218797,-71.084071,"(42.3421879736807, -71.0840709977025)"
32999,212029934,3410,,TOWED MOTOR VEHICLE,D4,273,0,5/8/21 10:00,2021,5,Saturday,10,,NORTHAMPTON ST,42.33665048,-71.07841035,"(42.3366504823943, -71.0784103520186)"
33018,212029908,3114,,INVESTIGATE PROPERTY,,594,0,5/8/21 5:58,2021,5,Saturday,5,,SAINT BOTOLPH ST,42.3414751,-71.08495034,"(42.3414751010219, -71.084950340075)"
33103,212029787,3001,,DEATH INVESTIGATION,D4,273,0,5/7/21 15:50,2021,5,Friday,15,,NORTHAMPTON ST,42.33665048,-71.07841035,"(42.3366504823943, -71.0784103520186)"
33231,212029586,3410,,TOWED MOTOR VEHICLE,D4,171,0,5/7/21 0:36,2021,5,Friday,0,,HARRISON AVE,42.33511904,-71.0749171,"(42.3351190394661, -71.0749170961373)"
33237,212029578,3006,,SICK/INJURED/MEDICAL - PERSON,D4, ,1,5/6/21 23:20,2021,5,Thursday,23,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
33292,212029505,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,0,5/6/21 19:09,2021,5,Thursday,19,,TREMONT ST,42.33906064,-71.08069001,"(42.3390606393149, -71.0806900097293)"
33338,212029448,3301,,VERBAL DISPUTE,D4,157,0,5/6/21 15:09,2021,5,Thursday,15,,W CONCORD ST,42.33961962,-71.07699237,"(42.3396196180069, -71.0769923673942)"
33347,212029435,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4,156,0,5/6/21 14:31,2021,5,Thursday,14,,TREMONT ST,42.33945339,-71.07992484,"(42.3394533925537, -71.0799248357064)"
33408,212029356,3821,,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,D4, ,0,5/6/21 9:50,2021,5,Thursday,9,,CONCORD SQ & COLUMBUS AVE,42.34217096,-71.07983698,"(42.3421709584288, -71.0798369768776)"
33422,212029338,801,,ASSAULT - SIMPLE,D4,172,0,5/6/21 6:15,2021,5,Thursday,6,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
33426,212029331,3005,,SICK ASSIST,D4,270,0,5/6/21 4:10,2021,5,Thursday,4,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
33452,212029294,3503,,MISSING PERSON - NOT REPORTED - LOCATED,D4,273,0,5/5/21 23:30,2021,5,Wednesday,23,,MASSACHUSETTS AVE,42.3368915,-71.077551,"(42.3368915011277, -71.0775509960834)"
33495,212029240,2905,,VAL - VIOLATION OF AUTO LAW,D4,271,0,5/5/21 19:35,2021,5,Wednesday,19,,MASSACHUSETTS AVE,42.335482,-71.07586449,"(42.3354820018339, -71.0758644934091)"
33522,212029202,3115,,INVESTIGATE PERSON,D4, ,0,5/5/21 15:50,2021,5,Wednesday,15,,PUBLIC ALLEY NO. 719,42.33622406,-71.07491683,"(42.3362240614392, -71.0749168298451)"
33539,212029182,801,,ASSAULT - SIMPLE,D4, ,0,5/5/21 15:07,2021,5,Wednesday,15,,,42.33358803,-71.07702002,"(42.3335880330401, -71.077020017849)"
33557,212029159,3502,,MISSING PERSON - LOCATED,D4,273,0,5/5/21 14:00,2021,5,Wednesday,14,,MASSACHUSETTS AVE,42.33755715,-71.07836018,"(42.3375571460118, -71.0783601818338)"
33569,212029143,2612,,FIRE REPORT/ALARM - FALSE,D4,156,0,5/5/21 12:01,2021,5,Wednesday,12,,MASSACHUSETTS AVE,42.33903373,-71.07997272,"(42.3390337336064, -71.0799727249646)"
33580,212029128,3005,,SICK ASSIST,D4,271,0,5/5/21 11:36,2021,5,Wednesday,11,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
33632,212029068,423,,ASSAULT - AGGRAVATED,D4, ,1,5/5/21 5:48,2021,5,Wednesday,5,,HARRISON AVE,42.33511904,-71.0749171,"(42.3351190394661, -71.0749170961373)"
33666,212029021,3001,,DEATH INVESTIGATION,D4,179,0,5/4/21 21:21,2021,5,Tuesday,21,,MASSACHUSETTS AVE,42.33285585,-71.07262418,"(42.3328558502194, -71.0726241783837)"
33707,212028959,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,273,0,5/4/21 17:40,2021,5,Tuesday,17,,WASHINGTON ST,42.33543509,-71.07840204,"(42.3354350942456, -71.0784020363859)"
33716,212028948,3803,,M/V ACCIDENT - PERSONAL INJURY,D4,270,0,5/4/21 15:55,2021,5,Tuesday,15,,NORTHAMPTON ST,42.33313833,-71.07474015,"(42.3331383261259, -71.0747401525679)"
33747,212028914,1300,,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,D4,171,0,5/4/21 14:26,2021,5,Tuesday,14,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
33765,212028890,3807,,M/V ACCIDENT - OTHER CITY VEHICLE,D4,155,0,5/4/21 12:47,2021,5,Tuesday,12,,MASSACHUSETTS AVE,42.33998273,-71.080974,"(42.3399827319387, -71.0809740006293)"
33775,212028877,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4,147,0,5/4/21 11:57,2021,5,Tuesday,11,,,42.34064797,-71.08174797,"(42.340647968512, -71.0817479739454)"
33785,212028865,3301,,VERBAL DISPUTE,D4,594,0,5/4/21 11:19,2021,5,Tuesday,11,,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.3424394483042, -71.0844552992046)"
33792,212028857,3201,,PROPERTY - LOST/ MISSING,D4,594,0,5/2/21 22:00,2021,5,Sunday,22,,MASSACHUSETTS AVE,42.34186952,-71.0837219,"(42.3418695197559, -71.0837219015865)"
33800,212028846,423,,ASSAULT - AGGRAVATED,D4,172,0,5/4/21 9:19,2021,5,Tuesday,9,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
33878,212028740,2632,,EVADING FARE,D4,270,0,4/19/21 17:55,2021,4,Monday,17,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
33896,212028721,3207,,PROPERTY - FOUND,D4,273,0,5/3/21 16:40,2021,5,Monday,16,,WASHINGTON ST,42.33543509,-71.07840204,"(42.3354350942456, -71.0784020363859)"
33941,212028668,2907,,VAL - OPERATING AFTER REV/SUSP.,D4, ,0,5/3/21 13:29,2021,5,Monday,13,,,42.33349602,-71.07338795,"(42.3334960161939, -71.073387954796)"
33950,212028658,801,,ASSAULT - SIMPLE,D4,172,0,5/3/21 12:46,2021,5,Monday,12,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
34039,212028542,3005,,SICK ASSIST,D4,273,0,5/2/21 22:06,2021,5,Sunday,22,,MASSACHUSETTS AVE,42.33755715,-71.07836018,"(42.3375571460118, -71.0783601818338)"
34102,212028445,3115,,INVESTIGATE PERSON,D4,273,0,5/2/21 15:41,2021,5,Sunday,15,,MASSACHUSETTS AVE,42.33899339,-71.08008595,"(42.3389933922745, -71.0800859481575)"
34125,212028407,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,179,0,5/2/21 12:38,2021,5,Sunday,12,,MASSACHUSETTS AVE,42.33285585,-71.07262418,"(42.3328558502194, -71.0726241783837)"
34132,212028398,801,,ASSAULT - SIMPLE,D4,273,0,5/2/21 12:08,2021,5,Sunday,12,,MASSACHUSETTS AVE,42.33899339,-71.08008595,"(42.3389933922745, -71.0800859481575)"
34170,212028348,617,,LARCENY THEFT FROM BUILDING,D4,270,0,5/2/21 1:42,2021,5,Sunday,1,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
34177,212028338,3110,,SERVICE TO OTHER AGENCY,D4,270,0,5/1/21 5:43,2021,5,Saturday,5,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
34183,212028326,3006,,SICK/INJURED/MEDICAL - PERSON,D4,270,0,5/1/21 22:39,2021,5,Saturday,22,,HARRISON AVE,42.33455374,-71.07560801,"(42.3345537359391, -71.0756080127524)"
34381,212028069,423,,ASSAULT - AGGRAVATED,D4, ,0,4/30/21 20:26,2021,4,Friday,20,,WASHINGTON ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
34382,212028068,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,270,0,4/30/21 20:29,2021,4,Friday,20,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
34412,212028030,2403,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,D4,156,0,4/30/21 17:25,2021,4,Friday,17,,TREMONT ST,42.33945339,-71.07992484,"(42.3394533925537, -71.0799248357064)"
34428,212028011,2657,,VIOLATION - CITY ORDINANCE,D4, ,0,4/30/21 16:31,2021,4,Friday,16,,NEWCOMB ST,42.33418175,-71.07866441,"(42.3341817496389, -71.078664414317)"
34439,212027997,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,271,0,4/30/21 13:55,2021,4,Friday,13,,"HARRISON AVE & MASSACHUSETTS AVE
BOSTON  MA 02118
",42.33490996,-71.07517005,"(42.3349099560838, -71.0751700489333)"
34452,212027978,735,,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D4, ,0,4/30/21 14:15,2021,4,Friday,14,,CAMDEN ST,42.339306,-71.083311,"(42.3393060003329, -71.0833109997905)"
34495,212027919,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,179,0,4/30/21 11:31,2021,4,Friday,11,,MASSACHUSETTS AVE,42.33285585,-71.07262418,"(42.3328558502194, -71.0726241783837)"
34563,212027832,3125,,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),D4,156,0,4/29/21 23:54,2021,4,Thursday,23,,W SPRINGFIELD,42.33930275,-71.07912378,"(42.3393027488002, -71.0791237835741)"
34607,212027772,3201,,PROPERTY - LOST/ MISSING,D4,155,0,4/29/21 18:23,2021,4,Thursday,18,,TREMONT ST,42.33952756,-71.07999981,"(42.3395275570428, -71.0799998147072)"
34612,212027766,2905,,VAL - VIOLATION OF AUTO LAW,D4,156,0,4/29/21 17:40,2021,4,Thursday,17,,MASSACHUSETTS AVE,42.33903373,-71.07997272,"(42.3390337336064, -71.0799727249646)"
34643,212027730,617,,LARCENY THEFT FROM BUILDING,D4,172,0,4/29/21 14:32,2021,4,Thursday,14,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
34677,212027679,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,179,0,4/29/21 11:09,2021,4,Thursday,11,,MASSACHUSETTS AVE,42.33285585,-71.07262418,"(42.3328558502194, -71.0726241783837)"
34940,212027336,3005,,SICK ASSIST,D4, ,0,4/27/21 21:51,2021,4,Tuesday,21,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02119
UNI",42.33349602,-71.07338795,"(42.3334960161939, -71.073387954796)"
35004,212027254,3201,,PROPERTY - LOST/ MISSING,D4,172,0,4/27/21 16:31,2021,4,Tuesday,16,,ALBANY ST,42.33428841,-71.07239518,"(42.3342884065942, -71.072395175438)"
35141,212027077,3115,,INVESTIGATE PERSON,D4,273,0,4/26/21 21:41,2021,4,Monday,21,,NORTHAMPTON ST,42.33665048,-71.07841035,"(42.3366504823943, -71.0784103520186)"
35146,212027071,2907,,VAL - OPERATING AFTER REV/SUSP.,D4,147,0,4/26/21 20:55,2021,4,Monday,20,,MASSACHUSETTS AVE,42.34114797,-71.08246189,"(42.3411479669366, -71.0824618933261)"
35192,212027014,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,271,0,4/26/21 18:20,2021,4,Monday,18,,NORTHAMPTON ST,42.33463662,-71.07597593,"(42.3346366198417, -71.0759759263247)"
35227,212026970,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,4/26/21 15:48,2021,4,Monday,15,,"SHAWMUT AVE & MASSACHUSETTS AVE
BOSTON  MA 02118
U",42.33733299,-71.07807401,"(42.3373329884238, -71.07807400722)"
35325,212026828,1402,,VANDALISM,D4,147,0,4/24/21 14:00,2021,4,Saturday,14,,WELLINGTON ST,42.34153412,-71.08174368,"(42.3415341246194, -71.0817436772639)"
35352,212026788,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,145,0,4/24/21 18:00,2021,4,Saturday,18,,MASSACHUSETTS AVE,42.34194788,-71.08362479,"(42.3419478819786, -71.0836247862163)"
35380,212026755,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D4,273,0,4/25/21 17:40,2021,4,Sunday,17,,MASSACHUSETTS AVE,42.33899339,-71.08008595,"(42.3389933922745, -71.0800859481575)"
35387,212026748,3201,,PROPERTY - LOST/ MISSING,D4,171,0,4/25/21 12:00,2021,4,Sunday,12,,E CONCORD ST,42.33572403,-71.07232651,"(42.3357240262334, -71.0723265061289)"
35389,212026746,3006,,SICK/INJURED/MEDICAL - PERSON,D4,953,0,4/25/21 17:11,2021,4,Sunday,17,,WASHINGTON ST,42.33721215,-71.07597603,"(42.3372121541099, -71.0759760325963)"
35429,212026695,3503,,MISSING PERSON - NOT REPORTED - LOCATED,,273,0,4/25/21 9:00,2021,4,Sunday,9,,SHAWMUT AVE,42.33701214,-71.07853797,"(42.3370121426288, -71.0785379724734)"
35462,212026656,613,,LARCENY SHOPLIFTING,D4,270,0,4/25/21 11:12,2021,4,Sunday,11,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
35532,212026571,3114,,INVESTIGATE PROPERTY,D4,170,0,4/24/21 22:31,2021,4,Saturday,22,,E SPRINGFIELD ST,42.33602919,-71.07517847,"(42.3360291944093, -71.0751784731697)"
35667,212026393,3410,,TOWED MOTOR VEHICLE,D4,270,0,4/24/21 10:34,2021,4,Saturday,10,,HARRISON AVE,42.33401829,-71.07638124,"(42.3340182895851, -71.0763812393086)"
35684,212026371,1102,,FRAUD - FALSE PRETENSE / SCHEME,D4,273,0,4/24/21 10:00,2021,4,Saturday,10,,SHAWMUT AVE,42.33701214,-71.07853797,"(42.3370121426288, -71.0785379724734)"
35690,212026365,3410,,TOWED MOTOR VEHICLE,D4,170,0,4/24/21 7:43,2021,4,Saturday,7,,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.335621261539, -71.0758236057027)"
35775,212026242,3006,,SICK/INJURED/MEDICAL - PERSON,D4,270,0,4/23/21 16:22,2021,4,Friday,16,,NORTHAMPTON ST,42.33395125,-71.07538939,"(42.3339512483938, -71.0753893882269)"
35798,212026216,3301,,VERBAL DISPUTE,D4,284,0,4/23/21 15:29,2021,4,Friday,15,,MASSACHUSETTS AVE,42.34107005,-71.08255287,"(42.341070048036, -71.082552871798)"
